city,latitude,longitude,state
NewYorkcity,40.7127837,-74.0059413,NY
Greenville,35.6127,-77.3664,NC
Waco,31.5493,-97.1467,TX
Richmond,37.9358,-122.3477,CA
LosAngelescity,34.0522342,-118.2436849,CA
Knoxville,35.9606,-83.9207,TN
Chicago,41.8781136,-87.6297982,IL
Tukwila,47.474,-122.261,WA
Dania,26.0523,-80.1439,FL
Houstoncity,29.7604267,-95.3698028,TX
Philadelphiacity,39.9525839,-75.1652215,PA
Phoenix,33.4483771,-112.0740373,AZ
San Antonio,29.4241219,-98.49362819999999,TX
San Diego,32.715738,-117.1610838,CA
Dallas,32.7766642,-96.79698789999999,TX
San Jose,37.3382082,-121.8863286,CA
Austin,30.267153,-97.7430608,TX
Indianapolis,39.768403,-86.158068,IN
Jacksonville,30.3321838,-81.65565099999999,FL
SanFranciscocity,37.7749295,-122.4194155,CA
SantaFeSprings,33.9472,-118.0853,CA
LosBanos,37.0583,-120.8499,CA
Columbus,39.9611755,-82.99879419999999,OH
Charlotte,35.2270869,-80.8431267,NC
Fort Worth,32.7554883,-97.3307658,TX
Detroit,42.331427,-83.0457538,MI
El Paso,31.7775757,-106.4424559,TX
Memphis,35.1495343,-90.0489801,TN
Seattle,47.6062095,-122.3320708,WA
Denver,39.7392358,-104.990251,CO
Washingtoncity,38.9071923,-77.0368707,DC
Anniston,33.6598,-85.8316,AL
Boston,42.3600825,-71.0588801,MA
Nashville-Davidson,36.1626638,-86.7816016,TN
Baltimorecity,39.2903848,-76.6121893,MD
Oklahoma City,35.4675602,-97.5164276,OK
Portland,45.5230622,-122.6764816,OR
Las Vegas,36.1699412,-115.1398296,NV
Milwaukee,43.0389025,-87.9064736,WI
Albuquerque,35.0853336,-106.6055534,NM
Tucson,32.2217429,-110.926479,AZ
SouthElMonte,34.052,-118.0467,CA
GlensFalls,43.3095,-73.644,NY
Cudahycity,33.9606,-118.1853,CA
Fresno,36.7468422,-119.7725868,CA
LongBeach,33.7700504,-118.1937395,CA
KansasCity,39.0997265,-94.5785667,MO
Omaha,41.2523634,-95.99798829999999,NE
Raleigh,35.7795897,-78.6381787,NC
Miamicity,25.7616798,-80.1917902,FL
Oakland,37.8043637,-122.2711137,CA
Minneapolis,44.977753,-93.2650108,MN
Pleasantville,39.3898,-74.524,NJ
Tulsa,36.1539816,-95.99277500000001,OK
ClevelandHeightscity,41.49932,-81.6943605,OH
Wichita,37.688889,-97.336111,KS
Arlington,32.735687,-97.10806559999999,TX
NewOrleans,29.95106579999999,-90.0715323,LA
